"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"25/01/2023","80.15","80.26","81.23","79.45","297.23K","0.02%"
"24/01/2023","80.13","81.62","82.22","79.66","288.21K","-1.83%"
"23/01/2023","81.62","81.79","82.64","81.05","297.08K","-0.02%"
"20/01/2023","81.64","80.84","81.91","79.91","300.15K","1.28%"
"19/01/2023","80.61","79.43","81.49","78.45","321.13K","1.02%"
"18/01/2023","79.80","81.34","82.66","79.21","326.23K","-0.81%"
"17/01/2023","80.45","80.34","81.51","78.80","267.91K","1.78%"
"16/01/2023","79.04","79.78","79.92","78.80","","-0.93%"
"15/01/2023","79.78","80.17","80.19","79.78","","-0.41%"
"13/01/2023","80.11","78.58","80.37","78.23","189.32K","1.86%"
"12/01/2023","78.65","77.90","79.37","77.35","188.06K","1.25%"
"11/01/2023","77.68","75.06","78.06","74.56","179.83K","3.06%"
"10/01/2023","75.37","75.16","76.16","74.16","164.98K","0.60%"
"09/01/2023","74.92","73.87","76.97","73.79","154.20K","1.19%"
"06/01/2023","74.04","74.18","75.71","73.52","95.22K","0.16%"
"05/01/2023","73.92","73.51","75.15","72.74","112.45K","1.12%"
"04/01/2023","73.10","77.41","77.62","73.01","149.77K","-5.21%"
"03/01/2023","77.12","80.66","81.62","76.81","139.84K","-4.16%"
"02/01/2023","80.47","80.57","80.61","80.18","","0.00%"
"30/12/2022","80.47","78.59","80.57","77.72","","2.37%"
"29/12/2022","78.61","78.61","78.83","76.81","","0.01%"
"28/12/2022","78.60","79.75","79.88","77.33","","-1.47%"
"27/12/2022","79.77","80.97","81.17","79.17","","-1.48%"
"26/12/2022","80.97","79.92","81.06","79.92","","2.05%"
"23/12/2022","79.34","78.44","80.31","78.00","","1.13%"
"22/12/2022","78.45","78.47","79.88","77.03","","0.27%"
"21/12/2022","78.24","76.00","78.56","75.81","","2.64%"
"20/12/2022","76.23","75.77","76.96","74.46","","0.45%"
"19/12/2022","75.89","75.54","76.59","74.04","","1.93%"
"16/12/2022","74.45","76.24","76.57","73.33","","-2.36%"
"15/12/2022","76.25","77.26","77.76","75.38","","-1.32%"
"14/12/2022","77.27","75.19","77.74","74.91","","2.77%"
